Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Date of birth,Salary,Rental club
Emmanuel Martínez,AM RL,28,128,130,Argentina,AMG,9,11,15,12,14,9,6,11,8,5,11,13,6,14,8,9,10,10,12,12,13,11,13,8,11,6,11,8,15,14,12,6,12,15,13,7,13,7,11,8,12,3,1,3,3,1,3,2,1,2,2,1,9,9,3,12,11,11,8,12,1,1,1,1,1,1,1,13,1,10,20,12,15,15,168,66,12,20,5002628,04/06/1994,9699,
Alessandro Schöpf,WB/M/AM RC,28,128,137,Austria,Vancouver Whitecaps FC,11,12,14,8,13,10,8,12,10,9,13,12,11,13,15,13,10,10,12,12,10,13,13,8,12,9,13,16,13,13,10,8,18,12,15,9,13,8,11,5,18,1,2,3,2,4,2,2,1,2,2,1,12,16,4,10,10,15,12,17,1,1,1,10,10,17,8,12,18,20,12,16,17,1,178,74,12,20,5689653,07/02/1994,17305,
Ryan Yates,DM/M C,24,128,138,England,Nottingham Forest,7,10,10,11,12,10,15,9,4,12,13,4,14,12,12,12,15,11,12,12,12,15,6,12,13,14,15,15,11,13,12,14,14,13,16,13,13,8,13,4,12,4,3,2,3,2,3,2,2,1,3,1,10,12,8,14,13,14,13,10,1,1,12,1,1,1,16,1,20,10,1,12,1,1,190,0,13,20,8821307,21/11/1997,28998,
Federico Fattori,DM/M C,30,128,128,Argentina,Club Atlético Huracán,10,11,11,9,13,11,9,12,5,14,13,11,13,12,11,13,13,12,13,13,14,12,10,12,13,15,13,12,12,13,12,8,14,12,14,12,14,11,10,10,10,1,1,1,3,3,3,1,1,3,2,1,9,11,6,9,10,12,10,10,1,1,1,1,1,1,20,1,19,1,1,1,1,1,171,73,10,20,1093821,22/07/1992,12137,
Erick Sánchez,M C,22,128,142,Mexico,Pachuca CF,11,12,12,11,14,8,5,7,13,13,15,12,14,12,13,13,13,14,13,14,13,12,10,13,13,12,12,14,15,14,10,8,11,13,15,12,12,9,12,5,12,3,2,3,3,1,1,1,2,3,1,2,10,13,2,11,10,13,12,11,1,1,1,1,1,1,1,12,20,1,1,10,1,1,167,62,10,20,4184311,27/09/1999,14498,
Jean-Kevin Duverne,D RLC,25,128,140,"France,Haiti",Stade Brestois 29,5,10,10,6,12,5,14,6,10,13,13,7,14,12,12,13,15,13,12,10,12,14,10,12,9,13,14,14,12,13,14,14,15,13,15,15,12,8,11,10,11,3,3,3,1,2,1,3,3,1,3,1,9,14,12,10,14,12,13,12,1,19,20,15,1,1,1,1,1,1,1,1,1,1,182,71,8,20,2835154,12/07/1997,6898,
Felipe Jonatan,D/WB L,24,128,138,Brazil,SAN,12,13,14,11,13,9,8,13,7,11,13,10,12,13,10,12,10,11,11,12,13,13,12,9,14,9,12,13,15,13,13,8,13,15,14,12,12,11,12,6,12,2,4,3,3,3,2,4,2,1,3,3,13,13,1,10,12,12,11,12,1,20,1,1,18,1,1,1,1,1,1,1,1,1,176,76,20,8,5254335,15/02/1998,6025,
Ezequiel Ponce,S,25,128,138,"Argentina,Spain,Italy",Elche,7,10,12,15,12,8,14,11,7,6,11,12,7,12,15,13,13,10,13,10,12,14,13,11,13,8,10,12,15,13,13,12,13,13,12,13,12,13,12,9,9,3,3,1,1,2,2,1,1,2,1,3,13,16,8,11,16,10,10,10,1,1,1,1,1,1,1,1,1,1,10,1,1,20,181,75,12,20,1312005,29/03/1997,33062,
Tijjani Reijnders,DM/M/AM LC,23,128,135,Holland,AZ Alkmaar,11,11,14,11,15,12,5,13,4,6,13,11,7,15,7,12,10,13,10,14,12,13,15,7,12,9,13,13,13,15,13,8,13,13,13,12,10,5,9,5,12,2,1,4,3,1,3,1,1,2,3,2,8,10,6,12,11,9,14,12,1,1,1,1,1,1,18,12,20,12,17,19,14,1,185,73,8,20,5017997,29/07/1998,2617,
Óscar De Marcos,D/WB R,33,128,150,"Spain,Pays Basque",A. Bilbao,10,12,11,11,10,10,11,12,4,11,12,7,12,12,12,12,15,12,14,11,11,13,12,9,14,14,14,15,12,12,11,10,14,13,14,13,13,5,11,10,20,4,1,1,2,1,1,3,2,1,3,1,11,15,7,12,12,14,11,8,1,11,1,20,11,19,1,12,14,15,12,13,15,10,182,78,11,20,884024,14/04/1989,9770,
Aron Einar Gunnarsson,DM/M C,33,128,130,Iceland,Al-Arabi Sports Club,8,12,11,11,12,9,13,11,18,13,13,12,14,13,14,13,16,14,13,12,12,16,11,16,13,14,16,16,12,12,11,10,14,12,14,14,14,12,14,4,12,2,1,3,2,1,3,3,1,3,2,1,14,14,6,14,12,18,15,13,1,1,1,12,1,1,20,1,18,1,1,1,1,1,178,70,6,20,4318052,22/04/1989,69595,
Luis Amarilla,S,26,128,128,Paraguay,Minnesota United FC,8,8,11,14,13,9,15,10,6,6,13,14,6,13,9,13,11,12,9,11,12,11,14,7,16,7,9,13,13,14,12,12,13,12,15,13,11,11,10,11,11,1,1,1,1,3,3,3,1,3,1,3,10,12,8,12,10,12,11,12,1,1,1,1,1,1,1,1,1,1,1,10,1,20,182,74,10,20,5242968,25/08/1995,15220,
Kristian Thorstvedt,M/AM C,23,128,145,Norway,U.S. Sassuolo,9,10,11,12,12,12,11,12,6,8,13,12,9,13,13,14,15,14,14,14,14,15,13,12,13,9,16,15,11,11,14,14,14,11,14,14,13,9,12,11,12,1,1,2,1,3,1,2,1,4,1,1,10,13,6,14,12,12,11,5,1,1,1,1,1,1,10,10,19,10,11,20,11,14,189,84,20,12,9691568,13/03/1999,14999,
Liam Henderson,M/AM C,26,128,134,Scotland,Empoli Football Club,11,11,10,9,13,12,7,14,5,9,14,9,11,13,14,12,14,13,13,13,14,15,11,11,14,11,14,14,12,12,13,11,15,12,16,13,13,11,13,7,13,2,2,2,1,1,2,1,1,1,3,1,15,12,6,12,12,15,11,8,1,1,1,1,1,1,1,10,20,10,10,19,10,1,183,67,10,20,3468584,25/04/1996,28461,
Santiago Ascacíbar,DM/M C,25,128,136,"Argentina,Italy",Hertha Berlin,6,7,10,7,11,6,9,8,8,14,11,9,17,11,18,12,17,11,13,10,11,18,6,12,9,15,15,15,14,16,15,7,14,11,15,12,12,16,16,10,7,1,2,1,1,3,1,3,3,3,2,1,12,17,14,12,14,10,6,9,1,1,1,1,1,1,20,1,20,1,1,1,1,1,168,70,9,20,10438354,25/02/1997,47913,Cremonese
Àlex Granell,M C,33,128,133,Spain,Lommel SK,13,11,9,8,14,15,8,13,8,10,14,13,12,14,8,13,9,14,14,14,14,18,8,11,15,13,14,14,12,13,12,8,11,13,13,9,14,8,14,13,12,1,3,3,3,4,3,3,2,4,1,2,7,10,8,11,12,11,11,10,1,1,1,1,1,1,15,13,20,1,8,12,1,1,181,70,20,9,347975206,02/08/1988,1500,
Nahuel Bustos,AM/S RL,24,128,145,Argentina,Manchester City,12,13,15,13,12,11,10,13,11,4,12,12,4,15,9,14,10,11,12,12,12,3,15,8,7,7,12,8,15,14,8,10,12,14,13,11,9,11,11,6,13,2,2,2,1,3,2,1,3,1,2,2,7,12,4,11,14,13,10,11,1,1,1,1,1,1,1,1,1,10,15,1,18,20,176,69,11,20,1226774,04/07/1998,28998,SPO
Jefferson Duque,S,35,128,140,Colombia,Atlético Nacional S.A.,7,11,12,15,13,7,13,10,4,4,12,15,5,13,8,13,10,12,14,12,14,15,12,14,14,8,13,13,11,13,14,13,13,10,14,15,13,7,12,12,10,3,1,3,3,3,2,1,1,1,2,1,12,13,7,14,12,14,13,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,183,80,12,20,54648,17/05/1987,9618,
Nemanja Radoja,DM/M C,29,128,145,Serbia,,8,9,10,9,14,9,12,12,8,13,14,9,12,13,13,15,15,12,15,12,13,13,10,15,9,16,15,14,12,11,11,12,12,11,14,14,14,8,15,11,14,1,3,1,1,1,3,3,1,1,4,1,12,13,9,12,14,13,13,13,1,1,13,10,1,9,20,1,18,1,1,1,1,1,186,72,11,20,-1,06/02/1993,,
Kara Mbodj,D/DM C,32,128,145,Senegal,Al-Sailiya Sports Club,8,3,9,7,11,3,15,9,5,14,10,9,15,9,13,14,15,12,10,6,12,13,10,18,11,13,13,14,11,12,17,17,16,11,12,16,13,16,12,8,10,1,1,2,3,3,2,1,3,2,2,1,14,20,12,14,18,7,10,7,1,1,20,1,1,1,17,1,13,1,1,1,1,1,190,88,6,20,3815277,11/11/1989,49999,
Wilfried Kanga,S,24,128,138,"Ivory Coast,France",Hertha Berlin,6,9,11,13,12,8,13,6,4,8,11,12,6,12,13,13,11,12,11,10,13,12,13,8,14,9,12,13,13,11,13,14,9,14,13,16,12,5,11,6,10,3,1,1,3,2,2,3,2,1,2,3,8,11,5,13,7,14,10,11,1,1,1,1,1,1,1,1,1,1,13,1,13,20,189,90,15,20,3999242,21/02/1998,19588,
Salman Al-Faraj,M LC,32,128,130,Saudi Arabia,Al-Hilal Saudi Football Club,13,12,12,5,13,9,7,13,12,6,17,13,7,15,10,11,8,13,11,15,9,15,12,15,12,13,14,14,11,15,12,10,13,12,15,10,14,3,12,7,17,2,1,2,1,3,1,3,2,2,1,1,12,15,7,14,15,15,16,16,1,12,1,1,12,1,15,15,20,1,1,1,1,1,180,69,20,15,3737675,01/08/1989,51566,
Stanley Nsoki,D LC,23,128,136,"France,Congo",TSG Hoffenheim,6,11,10,10,10,6,15,10,12,14,10,9,15,9,16,13,15,13,10,10,9,13,10,10,10,14,14,15,13,11,16,12,14,14,15,16,12,15,13,7,12,2,2,1,2,3,1,3,3,1,1,3,8,14,1,12,12,12,9,11,1,16,20,1,1,1,13,1,1,1,1,1,1,1,184,75,20,9,11914569,09/04/1999,23095,
Willyan Rocha,D/DM C,27,128,130,Brazil,CSKA Moscow,5,6,7,4,10,4,16,5,8,16,11,7,17,8,18,16,16,10,14,9,9,15,5,13,12,13,14,14,12,12,14,15,15,12,15,14,11,17,14,4,6,1,4,3,4,1,3,1,1,1,4,1,12,17,15,8,7,14,10,7,1,1,20,1,1,1,19,1,1,1,1,1,1,1,193,87,6,20,6944852,27/01/1995,33277,
Pablo Aguilar,D C,35,128,142,"Paraguay,Mexico",Club Libertad,6,8,9,8,11,8,14,8,13,14,9,6,14,9,12,14,13,13,13,11,12,15,8,13,8,14,14,14,13,13,14,13,10,12,13,13,12,8,11,13,10,3,2,3,4,2,2,1,2,3,1,1,13,12,5,9,14,14,7,10,1,7,20,7,1,1,1,1,1,1,1,1,1,1,180,77,10,20,347975206,02/04/1987,7732,
Rogério,D/WB L,24,128,140,Brazil,U.S. Sassuolo,6,11,11,6,13,7,7,10,10,11,13,6,12,13,14,13,13,14,13,11,13,14,14,10,15,12,13,13,15,15,13,7,14,15,15,10,10,11,11,12,11,2,1,2,3,2,2,4,2,2,1,2,13,12,4,11,11,15,9,12,1,20,1,1,18,1,1,15,1,1,1,1,1,1,178,70,20,6,3174004,13/01/1998,25000,
Uroš Đurđević,S,28,128,141,"Montenegro,Serbia",S. Gijón,7,11,10,15,13,11,11,15,7,12,11,16,12,12,16,11,17,14,13,11,11,12,15,12,12,11,10,16,13,14,11,10,17,13,15,18,12,11,12,6,8,1,2,2,2,2,2,3,2,1,2,3,12,15,12,13,12,12,12,7,1,1,1,1,1,1,1,5,1,5,10,10,10,20,182,80,7,20,3714162,02/03/1994,10104,
André Hansen,GK,32,128,134,Norway,Rosenborg BK,3,3,1,2,8,4,4,2,10,3,9,4,6,8,8,14,14,14,13,9,12,16,6,15,3,13,14,11,10,14,12,13,14,10,8,13,16,2,16,5,1,12,13,14,5,12,13,14,12,12,14,13,16,16,5,16,17,17,18,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,189,87,14,20,347975206,17/12/1989,4540,
Randy Nteka,DM/M/AM/S C,24,128,147,"France,Angola,Democratic Republic of Congo",Vallecano,11,10,11,12,11,11,14,11,7,9,13,7,12,12,14,12,14,12,13,14,14,12,14,14,12,11,11,12,12,11,9,14,14,13,14,14,12,7,16,6,15,3,1,3,1,2,2,3,2,3,2,2,12,12,1,13,13,9,11,17,1,1,1,1,1,1,16,13,18,1,1,20,1,16,189,75,20,11,3087097,06/12/1997,8491,
Adonis Frías,D C,24,128,137,Argentina,Club Social y Deportivo Defensa y Justicia,5,6,11,6,11,6,14,7,9,15,12,7,14,12,12,14,13,12,12,12,12,15,4,11,7,14,12,12,12,12,13,13,13,12,12,14,12,9,12,6,6,4,2,1,2,1,1,4,3,3,3,2,12,12,12,11,9,14,10,14,1,8,20,12,1,1,1,1,1,1,1,1,1,1,185,80,11,20,1937024,17/03/1998,1608,
Kevin Álvarez,D R,23,128,150,Mexico,Pachuca CF,10,13,14,8,11,8,11,8,11,12,14,7,14,14,13,13,13,11,12,12,14,12,7,13,14,13,10,12,13,13,12,10,9,13,14,10,13,11,12,13,11,2,1,1,2,2,1,3,2,2,1,3,16,13,2,12,10,11,11,17,1,10,1,20,1,1,1,1,1,1,1,1,1,1,175,63,10,20,1983076,15/01/1999,14498,
Jorge Molina,S,40,128,135,Spain,Granada,3,8,8,16,13,6,16,10,4,5,11,14,6,12,12,14,14,15,15,10,16,18,12,15,16,9,18,18,10,9,9,15,16,10,11,14,16,13,16,4,6,1,2,2,1,1,2,1,2,1,2,2,13,17,10,12,15,19,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,20,189,87,12,20,374168,22/04/1982,10183,
Anaitz Arbilla,D/WB RLC,35,128,132,"Spain,Pays Basque",Eibar,10,11,12,9,10,14,10,15,12,11,10,9,13,10,12,11,14,9,14,9,12,10,9,7,12,13,15,14,12,12,10,9,13,12,14,10,14,7,4,8,17,2,3,2,1,2,1,3,3,2,1,1,12,11,7,11,11,13,11,10,1,19,18,20,14,16,1,9,10,14,1,15,1,1,177,75,15,20,238531,15/05/1987,2872,
Anel Ahmedhodžić,D C,23,128,165,"Bosnia and Herzegovina,Sweden",Sheffield United,5,12,10,5,12,7,14,7,7,13,14,8,14,12,14,14,14,13,13,13,14,15,10,12,9,13,11,11,13,9,12,15,12,14,13,13,15,7,14,6,10,1,3,1,1,3,1,1,3,1,2,1,15,15,8,10,15,14,9,8,1,1,20,1,1,1,5,1,1,1,1,1,1,1,190,84,9,20,12416970,26/03/1999,17399,
Mohamed Sherif,AM/S RL,26,128,140,Egypt,Al-Ahly Sporting Club,8,10,13,14,14,9,14,7,9,8,10,7,10,12,10,13,9,11,9,11,10,17,11,4,14,9,13,13,14,14,14,10,14,14,14,8,12,16,1,11,10,2,2,4,2,2,2,1,1,1,1,1,12,14,5,10,9,11,5,4,1,1,1,1,1,1,1,1,1,1,18,12,19,20,184,0,20,15,7796249,04/02/1996,11122,
Christian Fuchs,D LC,36,128,145,"Austria,United States",Charlotte Football Club,13,16,11,8,12,12,14,14,18,14,13,12,13,12,14,14,11,14,15,13,14,13,11,14,13,14,16,15,10,9,13,13,15,9,10,14,13,11,12,1,13,3,2,3,1,2,1,2,4,2,4,3,8,17,8,6,12,17,15,13,1,20,19,1,14,1,1,13,1,1,13,1,1,1,187,89,20,8,175016,07/04/1986,7272,
Richard Ortiz,DM C,32,128,136,Paraguay,Club Olimpia,9,10,10,13,13,8,11,16,15,12,13,13,14,12,15,13,15,14,12,9,13,13,9,11,8,9,12,15,15,12,13,13,15,12,15,13,12,15,12,14,16,2,3,1,2,1,1,1,2,3,3,2,16,12,8,11,11,8,8,8,1,7,1,1,12,1,20,13,15,1,5,1,1,1,177,75,20,10,347975206,22/05/1990,4674,
Sergio Álvarez,DM/M C,30,128,135,Spain,Eibar,7,8,9,11,12,6,10,11,7,14,14,9,14,13,14,12,15,13,13,12,13,15,11,17,12,12,15,15,11,12,8,10,19,12,15,13,14,10,13,8,10,1,3,1,2,3,3,1,3,2,2,2,11,10,6,20,13,16,15,8,1,1,13,1,1,1,20,1,19,1,1,5,1,1,183,74,15,20,3141410,23/01/1992,10342,
Sebastiano Luperto,D LC,25,128,134,Italy,Parthenope,5,9,7,6,10,7,15,6,11,14,12,9,13,10,14,14,14,13,13,10,11,12,5,11,9,14,13,14,12,11,12,16,15,13,14,15,12,10,10,5,12,3,3,2,3,3,3,1,1,3,3,2,12,14,5,14,12,13,13,10,1,15,20,4,1,1,1,1,1,1,1,1,1,1,191,75,20,8,1540325,06/09/1996,24903,Empoli Football Club
Enzo Pérez,DM/M C,36,128,155,Argentina,Club Atlético River Plate,9,10,13,9,14,8,9,11,9,12,14,13,13,14,13,13,16,15,13,13,13,17,13,14,13,16,16,17,8,12,14,11,13,9,10,12,13,16,17,12,18,4,3,1,1,2,1,2,2,2,1,3,16,15,13,15,16,14,9,7,5,1,10,6,1,1,20,8,18,12,1,5,9,1,177,73,12,20,347975206,22/02/1986,39114,
Danny da Costa,D/WB R,29,128,132,"Germany,Angola",1. FSV Mainz 05,3,12,13,8,11,3,13,8,16,12,11,7,13,11,13,12,16,11,10,11,10,15,11,7,15,12,16,18,14,11,13,13,14,15,15,15,12,8,13,10,14,1,3,3,4,1,2,3,2,1,2,1,10,12,2,12,12,16,17,15,1,12,12,18,12,20,1,1,1,10,1,1,8,1,187,87,10,20,3335562,13/07/1993,16300,
Gustavo Cabral,D C,36,128,146,"Argentina,Spain",Pachuca CF,5,7,7,5,9,7,15,6,9,17,13,8,16,8,17,13,16,11,10,11,11,15,6,15,6,16,16,16,10,9,8,13,13,11,11,15,14,13,15,6,12,3,3,3,3,2,2,2,2,4,2,2,14,15,11,13,14,13,7,9,1,1,20,1,1,1,11,1,1,1,1,1,1,1,183,81,8,20,231120,14/10/1985,14498,
Kanya Fujimoto,M/AM RC,23,128,142,Japan,Gil Vicente Futebol Clube,14,15,14,12,15,12,6,13,5,4,15,10,6,16,8,10,10,15,12,16,14,13,14,12,8,12,14,14,12,14,14,7,12,13,13,8,14,5,12,6,10,1,3,3,1,3,2,2,1,3,2,1,12,11,2,12,15,15,11,14,1,1,1,1,1,1,1,1,18,1,10,20,19,1,175,67,20,8,3556999,01/07/1999,2450,
Fernando Llorente,S,37,128,165,"Spain,Pays Basque",,3,9,10,13,14,5,18,11,4,8,13,12,9,15,10,15,13,15,16,13,15,15,14,14,14,10,18,15,7,7,18,17,16,9,10,16,14,6,18,4,7,2,1,1,3,3,2,3,2,2,2,1,14,13,9,9,15,16,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,193,92,15,20,-1,26/02/1985,,
Jens Cajuste,DM/M RC,22,128,151,"Sweden,United States,Haiti",Stade de Reims,10,7,11,8,11,11,12,8,8,11,13,8,13,13,16,12,11,14,11,12,12,14,13,10,13,11,15,17,12,12,15,13,12,13,14,15,11,5,14,13,11,2,3,4,1,1,1,3,2,1,3,2,15,10,6,13,9,14,14,16,1,1,4,15,1,15,18,8,20,15,8,10,10,9,188,77,12,20,10556708,10/08/1999,29630,
Enzo Copetti,S R,26,128,131,Argentina,Racing Club de Avellaneda,7,11,11,12,9,8,15,8,6,9,11,14,10,12,18,10,14,12,13,8,11,13,9,8,14,8,15,16,16,11,13,14,16,13,16,18,12,13,11,4,14,1,2,1,3,2,3,3,2,3,2,3,17,13,17,6,6,11,12,11,1,1,1,1,1,1,1,1,1,14,1,1,15,20,181,87,8,20,5890872,16/01/1996,2500,
Kanu,D C,25,128,135,Brazil,BOT,6,7,13,7,12,7,12,7,10,14,12,10,14,14,9,13,11,13,13,13,12,13,7,12,10,14,13,13,14,13,12,13,13,13,13,14,13,6,13,8,10,3,1,3,3,3,1,3,2,1,1,3,8,9,6,9,12,12,12,15,1,1,20,1,1,1,12,1,1,1,1,1,1,1,186,74,6,20,5553967,07/03/1997,8154,
Nicola Sansone,AM/S LC,30,128,150,"Italy,Germany",Bologna FC 1909,12,13,14,11,11,13,7,13,5,6,12,13,9,15,10,13,11,13,12,11,12,12,13,10,14,8,12,13,14,14,12,7,14,13,13,9,12,9,12,9,14,2,1,3,3,1,2,3,2,1,1,1,12,12,7,11,12,12,12,12,1,1,1,1,1,1,1,10,1,7,20,15,12,20,172,63,11,20,1890991,10/09/1991,39422,
Jorge Miramón,D/WB/M/AM R,33,128,134,Spain,Leganés,9,13,13,7,13,11,9,9,5,11,12,7,12,12,13,12,14,12,13,13,14,12,13,10,13,13,15,14,13,13,12,8,13,13,14,10,14,6,11,7,15,1,1,3,3,4,2,1,2,1,3,3,12,13,7,14,13,16,13,10,1,1,1,20,1,18,8,1,10,18,1,10,16,1,176,74,8,20,950564,02/06/1989,9865,
Tomás Belmonte,DM/M C,24,128,141,"Argentina,Italy",Club Atlético Lanús,8,8,10,11,13,10,7,11,11,14,12,9,15,14,17,13,15,10,13,13,12,14,11,13,13,14,14,17,12,11,12,10,17,13,15,9,13,13,14,8,13,2,3,2,1,2,2,1,3,3,2,3,17,13,9,16,13,15,14,12,1,1,7,1,1,1,18,1,20,13,1,1,1,1,178,68,9,20,2289929,27/05/1998,5406,
Achraf Bencharki,AM/S L,27,128,135,Morocco,Al-Jazira Sports & Culture Club,10,12,15,14,13,10,13,11,7,4,12,15,4,15,8,13,10,12,11,13,13,7,14,15,14,4,9,12,15,14,11,8,14,13,10,9,15,9,13,8,14,3,1,1,2,3,3,3,3,3,1,3,7,12,8,7,13,12,4,13,1,1,1,1,1,1,1,12,1,1,20,14,12,18,179,70,11,20,10119619,24/09/1994,30497,
Ezequiel Cerutti,AM RL,30,128,131,"Argentina,Italy",Club Atlético San Lorenzo de Almagro,12,9,13,6,12,11,7,10,5,8,13,11,6,12,13,9,12,11,13,8,8,15,12,11,13,9,12,17,15,15,10,8,15,16,16,9,9,8,12,9,12,1,1,2,2,2,3,4,1,3,1,2,7,14,2,14,13,14,18,14,1,1,1,1,1,1,1,1,1,10,18,1,20,15,179,75,10,20,3316250,17/01/1992,13091,
Filippo Bandinelli,M C,27,128,133,Italy,Empoli Football Club,11,12,13,11,12,10,10,13,9,10,14,10,10,13,15,13,14,12,13,12,13,14,10,14,14,11,15,14,14,12,12,10,14,14,15,12,13,9,13,6,15,2,1,1,1,3,2,1,2,4,2,1,14,12,6,10,8,13,12,10,1,1,1,1,1,1,12,7,20,1,14,13,1,1,180,70,20,9,2138964,29/03/1995,21346,
Jean Mota,DM/M/AM LC,28,128,136,Brazil,Inter Miami CF,12,13,14,13,11,12,9,13,13,10,13,12,12,13,11,12,11,13,13,14,11,11,13,10,13,8,13,13,13,13,7,8,12,13,13,8,11,7,13,6,16,3,2,1,2,1,2,1,1,1,3,3,12,11,4,12,8,12,10,14,1,15,1,1,15,1,18,15,19,11,20,15,13,1,172,75,20,9,5587192,15/10/1993,15608,
Sergio Rochet,GK,29,128,138,"Uruguay,France",Club Nacional de Football,3,2,3,1,8,6,3,1,3,3,12,2,3,10,6,11,13,12,13,11,12,13,3,12,1,12,12,13,12,15,13,15,12,13,12,13,14,9,15,9,14,13,9,11,9,13,11,13,16,14,14,12,10,12,7,11,9,7,9,16,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,82,7,20,1823682,23/03/1993,6961,
Erik Durm,D/WB/M RL,30,128,134,Germany,1. FC Kaiserslautern,7,11,12,6,11,7,9,9,13,10,12,10,12,13,16,11,8,12,11,10,11,13,11,8,12,11,13,16,14,13,10,11,13,15,14,9,13,8,12,14,18,1,2,2,3,1,3,3,2,2,1,3,9,15,5,8,12,14,9,14,1,16,1,20,16,20,1,15,1,16,13,1,14,10,182,70,10,20,2461647,12/05/1992,14999,
Sander van de Streek,M/AM C,29,128,129,Holland,FC Utrecht,9,10,11,12,14,9,14,12,5,5,12,8,8,13,14,14,12,14,14,13,16,14,12,6,15,8,14,15,11,13,13,13,12,12,15,11,15,10,11,7,13,2,3,1,2,1,1,1,3,1,1,1,10,13,4,14,11,15,12,14,1,1,1,1,1,1,1,12,16,12,13,20,14,14,180,74,11,20,4589998,24/03/1993,3000,
Samuel Shashoua,M/AM RLC,23,128,143,"England,United States,Venezuela",Tenerife,11,12,16,10,15,11,6,9,8,5,14,13,6,16,7,11,10,10,11,15,13,13,15,9,13,6,11,12,14,15,13,5,11,13,10,8,11,6,12,14,12,1,4,1,4,1,3,3,4,1,3,4,13,13,12,7,11,9,13,14,1,1,1,1,1,1,1,16,12,15,19,20,16,14,170,63,12,20,2440140,13/05/1999,6999,
Robin Zentner,GK,27,128,132,Germany,1. FSV Mainz 05,5,3,2,2,8,6,6,3,2,3,8,2,1,8,8,12,12,12,12,8,12,16,5,14,3,12,12,12,11,15,13,17,14,11,12,16,13,5,14,13,11,14,15,14,8,13,11,13,13,16,10,12,7,13,6,19,13,16,14,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,194,96,7,20,2943143,28/10/1994,28766,
Hobie Verhulst,GK,29,128,128,Holland,AZ Alkmaar,4,3,3,3,6,6,4,1,2,1,13,4,3,10,6,12,12,13,15,11,13,13,5,14,2,13,12,15,14,12,9,13,6,16,10,16,12,6,12,8,13,11,12,15,12,12,15,12,14,13,8,12,17,10,8,8,13,9,10,19,20,1,1,1,1,1,1,1,1,1,1,1,1,1,192,94,20,5,3348150,02/04/1993,1726,
Christopher Martins Pereira,DM/M C,25,128,138,"Luxembourg,Cape Verde Islands",Spartak Moscow,8,7,12,8,13,8,12,11,5,13,13,9,14,13,13,13,13,12,13,11,12,12,10,8,11,12,14,15,12,12,14,14,16,13,16,14,12,13,11,13,13,2,3,1,1,3,2,2,1,1,2,2,14,14,3,12,12,13,10,17,1,1,12,1,1,1,18,1,20,13,1,12,12,1,187,80,12,20,12120415,19/02/1997,37930,
Armando Obispo,D/DM C,23,128,140,"Holland,Curaçao",PSV Eindhoven,10,11,9,5,11,11,15,11,8,13,12,11,13,12,12,12,14,14,13,13,11,14,8,12,12,12,14,15,12,12,13,13,14,12,16,13,13,7,12,7,10,4,2,2,2,2,4,1,3,2,1,1,10,13,7,10,15,15,15,15,1,13,20,1,12,1,17,1,1,1,1,1,1,1,186,0,20,10,5152835,05/03/1999,3999,
Joël Drommel,GK,25,128,136,Holland,PSV Eindhoven,3,2,8,1,9,4,2,2,2,1,12,4,3,9,9,12,12,13,13,11,12,15,8,13,2,13,12,14,10,13,14,14,14,10,13,11,11,6,11,5,13,13,14,14,13,12,14,13,14,8,11,13,11,10,4,11,11,14,14,13,20,1,1,1,1,1,1,1,1,1,1,1,1,1,193,87,7,20,4556249,16/11/1996,6711,
Marcelo Saracchi,D/WB L,24,128,140,Uruguay,Levante,12,12,14,9,13,10,7,10,12,10,12,8,12,13,13,11,15,11,11,9,9,17,9,10,13,9,12,15,17,16,11,8,13,15,15,7,9,13,11,13,11,3,3,2,1,2,3,1,2,2,3,1,12,15,10,8,14,12,8,9,1,20,1,1,20,1,1,14,1,1,14,1,1,1,172,69,20,8,3532351,23/04/1998,9588,
Marvin Ducksch,S,28,128,132,Germany,SV Werder Bremen,13,11,10,15,12,14,15,14,6,5,12,13,7,12,11,14,10,12,11,13,11,10,13,5,12,6,12,9,13,14,10,14,11,14,13,13,10,8,13,12,12,3,2,1,1,1,3,3,1,3,2,1,5,14,14,12,11,8,8,8,1,1,1,1,1,1,1,12,1,12,12,14,12,20,188,79,12,20,5130302,07/03/1994,29753,
